id,cod_dane,nombre,departamento_id
1,5001,Medellín,5
2,5002,Abejorral,5
3,5004,Abriaquí,5
4,5021,Alejandría,5
5,5030,Amagá,5
6,5031,Amalfi,5
7,5034,Andes,5
8,5036,Angelópolis,5
9,5038,Angostura,5
10,5040,Anorí,5
11,15832,Tununguá,15
12,5044,Anza,5
13,5045,Apartadó,5
14,5051,Arboletes,5
15,5055,Argelia,5
16,5059,Armenia,5
17,5079,Barbosa,5
18,5088,Bello,5
19,5091,Betania,5
20,5093,Betulia,5
21,5101,Ciudad Bolívar,5
22,5107,Briceño,5
23,5113,Buriticá,5
24,5120,Cáceres,5
25,5125,Caicedo,5
26,5129,Caldas,5
27,5134,Campamento,5
28,5138,Cañasgordas,5
29,5142,Caracolí,5
30,5145,Caramanta,5
31,5147,Carepa,5
32,15476,Motavita,15
33,5150,Carolina,5
34,5154,Caucasia,5
35,5172,Chigorodó,5
36,5190,Cisneros,5
37,5197,Cocorná,5
38,5206,Concepción,5
39,5209,Concordia,5
40,5212,Copacabana,5
41,5234,Dabeiba,5
42,5237,Don Matías,5
43,5240,Ebéjico,5
44,5250,El Bagre,5
45,5264,Entrerrios,5
46,5266,Envigado,5
47,5282,Fredonia,5
48,23675,San Bernardo del Viento,23
49,5306,Giraldo,5
50,5308,Girardota,5
51,5310,Gómez Plata,5
52,27361,Istmina,27
53,5315,Guadalupe,5
54,5318,Guarne,5
55,5321,Guatapé,5
56,5347,Heliconia,5
57,5353,Hispania,5
58,5360,Itagui,5
59,5361,Ituango,5
60,5086,Belmira,5
61,5368,Jericó,5
62,5376,La Ceja,5
63,5380,La Estrella,5
64,5390,La Pintada,5
65,5400,La Unión,5
66,5411,Liborina,5
67,5425,Maceo,5
68,5440,Marinilla,5
69,5467,Montebello,5
70,5475,Murindó,5
71,5480,Mutatá,5
72,5483,Nariño,5
73,5490,Necoclí,5
74,5495,Nechí,5
75,5501,Olaya,5
76,5541,Peñol,5
77,5543,Peque,5
78,5576,Pueblorrico,5
79,5579,Puerto Berrío,5
80,5585,Puerto Nare,5
81,5591,Puerto Triunfo,5
82,5604,Remedios,5
83,5607,Retiro,5
84,5615,Rionegro,5
85,5628,Sabanalarga,5
86,5631,Sabaneta,5
87,5642,Salgar,5
88,15189,Ciénega,15
89,52699,Santacruz,52
90,5652,San Francisco,5
91,5656,San Jerónimo,5
92,68575,Puerto Wilches,68
93,68573,Puerto Parra,68
94,5660,San Luis,5
95,5664,San Pedro,5
96,5667,San Rafael,5
97,5670,San Roque,5
98,5674,San Vicente,5
99,5679,Santa Bárbara,5
100,5690,Santo Domingo,5
101,5697,El Santuario,5
102,5736,Segovia,5
103,5761,Sopetrán,5
104,5789,Támesis,5
105,5790,Tarazá,5
106,5792,Tarso,5
107,5809,Titiribí,5
108,5819,Toledo,5
109,5837,Turbo,5
110,5842,Uramita,5
111,5847,Urrao,5
112,5854,Valdivia,5
113,5856,Valparaíso,5
114,5858,Vegachí,5
115,5861,Venecia,5
116,5885,Yalí,5
117,5887,Yarumal,5
118,5890,Yolombó,5
119,5893,Yondó,5
120,5895,Zaragoza,5
121,8001,Barranquilla,8
122,8078,Baranoa,8
123,8141,Candelaria,8
124,8296,Galapa,8
125,8421,Luruaco,8
126,8433,Malambo,8
127,8436,Manatí,8
128,8549,Piojó,8
129,8558,Polonuevo,8
130,8634,Sabanagrande,8
131,8638,Sabanalarga,8
132,8675,Santa Lucía,8
133,8685,Santo Tomás,8
134,8758,Soledad,8
135,8770,Suan,8
136,8832,Tubará,8
137,8849,Usiacurí,8
138,13006,Achí,13
139,13042,Arenal,13
140,13052,Arjona,13
141,13062,Arroyohondo,13
142,13140,Calamar,13
143,13160,Cantagallo,13
144,13188,Cicuco,13
145,13212,Córdoba,13
146,13222,Clemencia,13
147,13248,El Guamo,13
148,13430,Magangué,13
149,13433,Mahates,13
150,13440,Margarita,13
151,13458,Montecristo,13
152,13468,Mompós,13
153,13473,Morales,13
154,13490,Norosí,13
155,13549,Pinillos,13
156,13580,Regidor,13
157,13600,Río Viejo,13
158,13647,San Estanislao,13
159,13650,San Fernando,13
160,13657,San Juan Nepomuceno,13
161,13673,Santa Catalina,13
162,13683,Santa Rosa,13
163,13744,Simití,13
164,13760,Soplaviento,13
165,13780,Talaigua Nuevo,13
166,13810,Tiquisio,13
167,13836,Turbaco,13
168,13838,Turbaná,13
169,13873,Villanueva,13
170,15001,Tunja,15
171,15022,Almeida,15
172,15047,Aquitania,15
173,15051,Arcabuco,15
174,15090,Berbeo,15
175,15092,Betéitiva,15
176,15097,Boavita,15
177,15104,Boyacá,15
178,15106,Briceño,15
179,15109,Buena Vista,15
180,15114,Busbanzá,15
181,15131,Caldas,15
182,15135,Campohermoso,15
183,15162,Cerinza,15
184,15172,Chinavita,15
185,15176,Chiquinquirá,15
186,15180,Chiscas,15
187,15183,Chita,15
188,15185,Chitaraque,15
189,15187,Chivatá,15
190,15204,Cómbita,15
191,15212,Coper,15
192,15215,Corrales,15
193,15218,Covarachía,15
194,15223,Cubará,15
195,15224,Cucaita,15
196,15226,Cuítiva,15
197,15232,Chíquiza,15
198,15236,Chivor,15
199,15238,Duitama,15
200,15244,El Cocuy,15
201,15248,El Espino,15
202,15272,Firavitoba,15
203,15276,Floresta,15
204,15293,Gachantivá,15
205,15296,Gameza,15
206,15299,Garagoa,15
207,15317,Guacamayas,15
208,15322,Guateque,15
209,15325,Guayatá,15
210,15332,Güicán,15
211,15362,Iza,15
212,15367,Jenesano,15
213,15368,Jericó,15
214,15377,Labranzagrande,15
215,15380,La Capilla,15
216,15401,La Victoria,15
217,15425,Macanal,15
218,15442,Maripí,15
219,15455,Miraflores,15
220,15464,Mongua,15
221,15466,Monguí,15
222,15469,Moniquirá,15
223,15480,Muzo,15
224,15491,Nobsa,15
225,15494,Nuevo Colón,15
226,15500,Oicatá,15
227,15507,Otanche,15
228,15511,Pachavita,15
229,15514,Páez,15
230,15516,Paipa,15
231,15518,Pajarito,15
232,15522,Panqueba,15
233,15531,Pauna,15
234,15533,Paya,15
235,15542,Pesca,15
236,15550,Pisba,15
237,15572,Puerto Boyacá,15
238,15580,Quípama,15
239,15599,Ramiriquí,15
240,15600,Ráquira,15
241,15621,Rondón,15
242,15632,Saboyá,15
243,15638,Sáchica,15
244,15646,Samacá,15
245,15660,San Eduardo,15
246,15673,San Mateo,15
247,15686,Santana,15
248,15690,Santa María,15
249,15696,Santa Sofía,15
250,15720,Sativanorte,15
251,15723,Sativasur,15
252,15740,Siachoque,15
253,15753,Soatá,15
254,15755,Socotá,15
255,15757,Socha,15
256,15759,Sogamoso,15
257,15761,Somondoco,15
258,15762,Sora,15
259,15763,Sotaquirá,15
260,15764,Soracá,15
261,15774,Susacón,15
262,15776,Sutamarchán,15
263,15778,Sutatenza,15
264,15790,Tasco,15
265,15798,Tenza,15
266,15804,Tibaná,15
267,15808,Tinjacá,15
268,15810,Tipacoque,15
269,15814,Toca,15
270,15820,Tópaga,15
271,15822,Tota,15
272,15835,Turmequé,15
273,15839,Tutazá,15
274,15842,Umbita,15
275,15861,Ventaquemada,15
276,15879,Viracachá,15
277,15897,Zetaquira,15
278,17001,Manizales,17
279,17013,Aguadas,17
280,17042,Anserma,17
281,17050,Aranzazu,17
282,17088,Belalcázar,17
283,17174,Chinchiná,17
284,17272,Filadelfia,17
285,17380,La Dorada,17
286,17388,La Merced,17
287,17433,Manzanares,17
288,17442,Marmato,17
289,17446,Marulanda,17
290,17486,Neira,17
291,17495,Norcasia,17
292,17513,Pácora,17
293,17524,Palestina,17
294,17541,Pensilvania,17
295,17614,Riosucio,17
296,17616,Risaralda,17
297,17653,Salamina,17
298,17662,Samaná,17
299,17665,San José,17
300,17777,Supía,17
301,17867,Victoria,17
302,17873,Villamaría,17
303,17877,Viterbo,17
304,18001,Florencia,18
305,18029,Albania,18
306,18205,Curillo,18
307,18247,El Doncello,18
308,18256,El Paujil,18
309,18479,Morelia,18
310,18592,Puerto Rico,18
311,18756,Solano,18
312,18785,Solita,18
313,18860,Valparaíso,18
314,19001,Popayán,19
315,19022,Almaguer,19
316,19050,Argelia,19
317,19075,Balboa,19
318,19100,Bolívar,19
319,19110,Buenos Aires,19
320,19130,Cajibío,19
321,19137,Caldono,19
322,19142,Caloto,19
323,19212,Corinto,19
324,19256,El Tambo,19
325,19290,Florencia,19
326,19300,Guachené,19
327,19318,Guapi,19
328,19355,Inzá,19
329,19364,Jambaló,19
330,19392,La Sierra,19
331,19397,La Vega,19
332,19418,López,19
333,19450,Mercaderes,19
334,19455,Miranda,19
335,19473,Morales,19
336,19513,Padilla,19
337,19532,Patía,19
338,19533,Piamonte,19
339,19548,Piendamó,19
340,19573,Puerto Tejada,19
341,19585,Puracé,19
342,19622,Rosas,19
343,19701,Santa Rosa,19
344,19743,Silvia,19
345,19760,Sotara,19
346,19780,Suárez,19
347,19785,Sucre,19
348,19807,Timbío,19
349,19809,Timbiquí,19
350,19821,Toribio,19
351,19824,Totoró,19
352,19845,Villa Rica,19
353,20001,Valledupar,20
354,20011,Aguachica,20
355,20013,Agustín Codazzi,20
356,20032,Astrea,20
357,20045,Becerril,20
358,20060,Bosconia,20
359,20175,Chimichagua,20
360,20178,Chiriguaná,20
361,20228,Curumaní,20
362,20238,El Copey,20
363,20250,El Paso,20
364,20295,Gamarra,20
365,20310,González,20
366,20383,La Gloria,20
367,20443,Manaure,20
368,20517,Pailitas,20
369,20550,Pelaya,20
370,20570,Pueblo Bello,20
371,20621,La Paz,20
372,20710,San Alberto,20
373,20750,San Diego,20
374,20770,San Martín,20
375,20787,Tamalameque,20
376,23001,Montería,23
377,23068,Ayapel,23
378,23079,Buenavista,23
379,23090,Canalete,23
380,23162,Cereté,23
381,23168,Chimá,23
382,23182,Chinú,23
383,23300,Cotorra,23
384,23417,Lorica,23
385,23419,Los Córdobas,23
386,23464,Momil,23
387,23500,Moñitos,23
388,23555,Planeta Rica,23
389,23570,Pueblo Nuevo,23
390,23574,Puerto Escondido,23
391,23586,Purísima,23
392,23660,Sahagún,23
393,23670,San Andrés Sotavento,23
394,23672,San Antero,23
395,23686,San Pelayo,23
396,23807,Tierralta,23
397,23815,Tuchín,23
398,23855,Valencia,23
399,25035,Anapoima,25
400,25053,Arbeláez,25
401,25086,Beltrán,25
402,25095,Bituima,25
403,25099,Bojacá,25
404,25120,Cabrera,25
405,25123,Cachipay,25
406,25126,Cajicá,25
407,25148,Caparrapí,25
408,25151,Caqueza,25
409,25168,Chaguaní,25
410,25178,Chipaque,25
411,25181,Choachí,25
412,25183,Chocontá,25
413,25200,Cogua,25
414,25214,Cota,25
415,25224,Cucunubá,25
416,25245,El Colegio,25
417,25260,El Rosal,25
418,25279,Fomeque,25
419,25281,Fosca,25
420,25286,Funza,25
421,25288,Fúquene,25
422,25293,Gachala,25
423,25295,Gachancipá,25
424,25297,Gachetá,25
425,25307,Girardot,25
426,25312,Granada,25
427,25317,Guachetá,25
428,25320,Guaduas,25
429,25322,Guasca,25
430,25324,Guataquí,25
431,25326,Guatavita,25
432,25335,Guayabetal,25
433,25339,Gutiérrez,25
434,25368,Jerusalén,25
435,25372,Junín,25
436,25377,La Calera,25
437,25386,La Mesa,25
438,25394,La Palma,25
439,25398,La Peña,25
440,25402,La Vega,25
441,25407,Lenguazaque,25
442,25426,Macheta,25
443,25430,Madrid,25
444,25436,Manta,25
445,25438,Medina,25
446,25473,Mosquera,25
447,25483,Nariño,25
448,25486,Nemocón,25
449,25488,Nilo,25
450,25489,Nimaima,25
451,25491,Nocaima,25
452,25506,Venecia,25
453,25513,Pacho,25
454,25518,Paime,25
455,25524,Pandi,25
456,25530,Paratebueno,25
457,25535,Pasca,25
458,25572,Puerto Salgar,25
459,25580,Pulí,25
460,25592,Quebradanegra,25
461,25594,Quetame,25
462,25596,Quipile,25
463,25599,Apulo,25
464,25612,Ricaurte,25
465,25649,San Bernardo,25
466,25653,San Cayetano,25
467,25658,San Francisco,25
468,25736,Sesquilé,25
469,25740,Sibaté,25
470,25743,Silvania,25
471,25745,Simijaca,25
472,25754,Soacha,25
473,25769,Subachoque,25
474,25772,Suesca,25
475,25777,Supatá,25
476,25779,Susa,25
477,25781,Sutatausa,25
478,25785,Tabio,25
479,25793,Tausa,25
480,25797,Tena,25
481,25799,Tenjo,25
482,25805,Tibacuy,25
483,25807,Tibirita,25
484,25815,Tocaima,25
485,25817,Tocancipá,25
486,25823,Topaipí,25
487,25839,Ubalá,25
488,25841,Ubaque,25
489,25845,Une,25
490,25851,Útica,25
491,25867,Vianí,25
492,25871,Villagómez,25
493,25873,Villapinzón,25
494,25875,Villeta,25
495,25878,Viotá,25
496,25898,Zipacón,25
497,27001,Quibdó,27
498,27006,Acandí,27
499,27025,Alto Baudo,27
500,27050,Atrato,27
501,27073,Bagadó,27
502,27075,Bahía Solano,27
503,27077,Bajo Baudó,27
504,27099,Bojaya,27
505,27160,Cértegui,27
506,27205,Condoto,27
507,27372,Juradó,27
508,27413,Lloró,27
509,27425,Medio Atrato,27
510,27430,Medio Baudó,27
511,27450,Medio San Juan,27
512,27491,Nóvita,27
513,27495,Nuquí,27
514,27580,Río Iro,27
515,27600,Río Quito,27
516,27615,Riosucio,27
517,27745,Sipí,27
518,27800,Unguía,27
519,41001,Neiva,41
520,41006,Acevedo,41
521,41013,Agrado,41
522,41016,Aipe,41
523,41020,Algeciras,41
524,41026,Altamira,41
525,41078,Baraya,41
526,41132,Campoalegre,41
527,41206,Colombia,41
528,41244,Elías,41
529,41298,Garzón,41
530,41306,Gigante,41
531,41319,Guadalupe,41
532,41349,Hobo,41
533,41357,Iquira,41
534,41359,Isnos,41
535,41378,La Argentina,41
536,41396,La Plata,41
537,41483,Nátaga,41
538,41503,Oporapa,41
539,41518,Paicol,41
540,41524,Palermo,41
541,41530,Palestina,41
542,41548,Pital,41
543,41551,Pitalito,41
544,41615,Rivera,41
545,41660,Saladoblanco,41
546,41676,Santa María,41
547,41770,Suaza,41
548,41791,Tarqui,41
549,41797,Tesalia,41
550,41799,Tello,41
551,41801,Teruel,41
552,41807,Timaná,41
553,41872,Villavieja,41
554,41885,Yaguará,41
555,44001,Riohacha,44
556,44035,Albania,44
557,44078,Barrancas,44
558,44090,Dibula,44
559,44098,Distracción,44
560,44110,El Molino,44
561,44279,Fonseca,44
562,44378,Hatonuevo,44
563,44430,Maicao,44
564,44560,Manaure,44
565,44847,Uribia,44
566,44855,Urumita,44
567,44874,Villanueva,44
568,47001,Santa Marta,47
569,47030,Algarrobo,47
570,47053,Aracataca,47
571,47058,Ariguaní,47
572,47161,Cerro San Antonio,47
573,47170,Chivolo,47
574,47205,Concordia,47
575,47245,El Banco,47
576,47258,El Piñon,47
577,47268,El Retén,47
578,47288,Fundación,47
579,47318,Guamal,47
580,47460,Nueva Granada,47
581,47541,Pedraza,47
582,47551,Pivijay,47
583,47555,Plato,47
584,47605,Remolino,47
585,47675,Salamina,47
586,47703,San Zenón,47
587,47707,Santa Ana,47
588,47745,Sitionuevo,47
589,47798,Tenerife,47
590,47960,Zapayán,47
591,47980,Zona Bananera,47
592,50001,Villavicencio,50
593,50006,Acacias,50
594,50124,Cabuyaro,50
